Symbol,Company Name,Industry,Market Cap
AHG,Akso Health Group,Credit Services,30183120
AHH,"Armada Hoffler Properties, Inc.",REIT - Diversified,888335048
AHI,Advanced Human Imaging Limited,Software - Application,15471917
AHT,"Ashford Hospitality Trust, Inc.",REIT - Hotel & Motel,80128230
AI,"C3.ai, Inc.",Information Technology Services,2880582716
AIB,AIB Acquisition Corporation,Shell Companies,41002378
AIG,"American International Group, Inc.",Insurance - Diversified,43425901952
AIH,Aesthetic Medical International Holdings Group Limited,Medical Care Facilities,29960910
AIHS,Senmiao Technology Limited,Credit Services,2509160
AIM,AIM ImmunoTech Inc.,Biotechnology,22388384
AIMAU,Aimfinity Investment Corp. I,Shell Companies,112933150
AIMD,"Ainos, Inc.",Biotechnology,12378486
AIN,Albany International Corp.,Textile Manufacturing,2491632000
AINC,Ashford Inc.,Asset Management,18354567
AIP,"Arteris, Inc.",Semiconductors,197684424
AIR,AAR Corp.,Aerospace & Defense,2052051300
AIRC,Apartment Income REIT Corp.,REIT - Residential,4303620160
AIRE,reAlpha Tech Corp.,Real Estate Services,1142131320
AIRG,"Airgain, Inc.",Communication Equipment,35233120
AIRI,Air Industries Group,Aerospace & Defense,10198473
AIRS,"AirSculpt Technologies, Inc.",Medical Care Facilities,339574300
AIRT,"Air T, Inc.",Integrated Freight & Logistics,65597220
AIT,"Applied Industrial Technologies, Inc.",Industrial Distribution,5854958928
AIU,Meta Data Limited,Education & Training Services,18008100141
AIV,Apartment Investment and Management Company,REIT - Residential,839668675
AIXI,Xiao-I Corporation,Software - Application,123200028
AIZ,"Assurant, Inc.",Insurance - Specialty,7764113961
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,50464879900
AJX,Great Ajax Corp.,REIT - Mortgage,105730174
AKA,a.k.a. Brands Holding Corp.,Internet Retail,74041506
AKAM,"Akamai Technologies, Inc.",Software - Infrastructure,15561201589
AKAN,Akanda Corp.,Drug Manufacturers - Specialty & Generic,1802543
AKBA,"Akebia Therapeutics, Inc.",Biotechnology,159275981
AKLI,"Akili, Inc.",Health Information Services,29837152
AKO.A,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,1776995170
AKO.B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,1863958030
AKR,Acadia Realty Trust,REIT - Retail,1425770695
AKRO,"Akero Therapeutics, Inc.",Biotechnology,649989718
AKTS,"Akoustis Technologies, Inc.",Communication Equipment,34730304
AKTX,"Akari Therapeutics, Plc",Biotechnology,18726292
AKYA,"Akoya Biosciences, Inc.",Medical Instruments & Supplies,166399060
AL,Air Lease Corporation,Rental & Leasing Services,3786020700
ALAR,Alarum Technologies Ltd.,Software - Infrastructure,18987540
ALB,Albemarle Corporation,Specialty Chemicals,14951181270
ALBT,Avalon GloboCare Corp.,Real Estate Services,5980932
ALC,Alcon Inc.,Medical Instruments & Supplies,34632556000
ALCC,AltC Acquisition Corp.,Shell Companies,658365250
ALCO,"Alico, Inc.",Farm Products,183338150
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,155000000
ALDX,"Aldeyra Therapeutics, Inc.",Biotechnology,90237532
ALE,"ALLETE, Inc.",Utilities - Diversified,3046122474
ALEC,"Alector, Inc.",Biotechnology,432564369
ALEX,"Alexander & Baldwin, Inc.",REIT - Diversified,1145296250
ALG,Alamo Group Inc.,Farm & Heavy Construction Machinery,1920959370
ALGM,"Allegro MicroSystems, Inc.",Semiconductors,5084497680
ALGN,"Align Technology, Inc.",Medical Devices,14291902391
ALGS,"Aligos Therapeutics, Inc.",Biotechnology,27841663
ALGT,Allegiant Travel Company,Airlines,1265655531
ALHC,"Alignment Healthcare, Inc.",Healthcare Plans,1259487372
ALIM,"Alimera Sciences, Inc.",Drug Manufacturers - Specialty & Generic,172457852
ALIT,"Alight, Inc.",Software - Application,3701269523
ALK,"Alaska Air Group, Inc.",Airlines,4045723200
ALKS,Alkermes plc,Biotechnology,4056876916
ALKT,"Alkami Technology, Inc.",Software - Application,1653717125
ALL,The Allstate Corporation,Insurance - Property & Casualty,32819689780
ALLE,Allegion plc,Security & Protection Services,8576983800
ALLG,Allego N.V.,Auto Parts,443957823
ALLK,Allakos Inc.,Biotechnology,159059384
ALLO,"Allogene Therapeutics, Inc.",Biotechnology,462647760
ALLR,"Allarity Therapeutics, Inc.",Biotechnology,2431845
ALLT,Allot Ltd.,Software - Infrastructure,68488482
ALLY,Ally Financial Inc.,Credit Services,7205941082
ALNT,Allient Inc.,Electronic Components,442019370
ALNY,"Alnylam Pharmaceuticals, Inc.",Biotechnology,18926401410
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,79173166
ALOT,"AstroNova, Inc.",Computer Hardware,101714130
ALPN,"Alpine Immune Sciences, Inc.",Biotechnology,481190670
ALPP,"Alpine 4 Holdings, Inc.",Metal Fabrication,22204314
ALRM,"Alarm.com Holdings, Inc.",Software - Application,2651012032
ALRN,"Aileron Therapeutics, Inc.",Biotechnology,5494816
ALRS,Alerus Financial Corporation,Banks - Regional,343133727
ALSA,Alpha Star Acquisition Corporation,Shell Companies,136057665
ALSN,"Allison Transmission Holdings, Inc.",Auto Parts,4565509598
ALT,"Altimmune, Inc.",Biotechnology,125920496
ALTG,Alta Equipment Group Inc.,Rental & Leasing Services,301994373
ALTI,"AlTi Global, Inc.",Asset Management,729757676
ALTO,"Alto Ingredients, Inc.",Specialty Chemicals,311995854
ALTR,Altair Engineering Inc.,Software - Infrastructure,4869369876
ALTU,Altitude Acquisition Corp.,Shell Companies,89662761
ALUR,Allurion Technologies Inc.,Medical Devices,203523280
ALV,"Autoliv, Inc.",Auto Parts,7676849774
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2314400170
ALVR,"AlloVir, Inc.",Biotechnology,167385960
ALX,"Alexander's, Inc.",REIT - Retail,949087701
ALXO,ALX Oncology Holdings Inc.,Biotechnology,342731328
ALYA,Alithya Group Inc.,Information Technology Services,132068904
ALZN,"Alzamend Neuro, Inc.",Biotechnology,12582824
AM,Antero Midstream Corporation,Oil & Gas Midstream,5852498502
AMAL,Amalgamated Financial Corp.,Banks - Regional,538511584
AMAM,Ambrx Biopharma Inc.,Biotechnology,619788247
AMAO,American Acquisition Opportunity Inc.,Shell Companies,18416674
AMAT,"Applied Materials, Inc.",Semiconductor Equipment & Materials,109611052116
AMBA,"Ambarella, Inc.",Semiconductor Equipment & Materials,1790531180
AMBC,"Ambac Financial Group, Inc.",Insurance - Specialty,538664560
AMBI,Ambipar Emergency Response,Waste Management,352534158
AMBO,Ambow Education Holding Ltd.,Education & Training Services,3843295
AMBP,Ardagh Metal Packaging S.A.,Packaging & Containers,2061720000
AMC,"AMC Entertainment Holdings, Inc.",Entertainment,1975635640
AMCR,Amcor plc,Packaging & Containers,12815457833
AMCX,AMC Networks Inc.,Entertainment,502914320
AMD,"Advanced Micro Devices, Inc.",Semiconductors,155395142139
AME,"AMETEK, Inc.",Specialty Industrial Machinery,32327365440
AMED,"Amedisys, Inc.",Medical Care Facilities,2985946950
AMEH,"Apollo Medical Holdings, Inc.",Medical Care Facilities,1432538499
AMG,"Affiliated Managers Group, Inc.",Asset Management,4307964948
AMGN,Amgen Inc.,Drug Manufacturers - General,140780592084
AMH,American Homes 4 Rent,REIT - Residential,13310770441
AMK,"AssetMark Financial Holdings, Inc.",Asset Management,1771891320
AMKR,"Amkor Technology, Inc.",Semiconductors,5023395884
AMLI,American Lithium Corp.,Other Industrial Metals & Mining,223241208
AMLX,"Amylyx Pharmaceuticals, Inc.",Biotechnology,1061535600
AMN,"AMN Healthcare Services, Inc.",Medical Care Facilities,2817577377
AMNB,American National Bankshares Inc.,Banks - Regional,405075001
AMP,"Ameriprise Financial, Inc.",Asset Management,32413395840
AMPE,"Ampio Pharmaceuticals, Inc.",Biotechnology,1857516
AMPG,"AmpliTech Group, Inc.",Communication Equipment,16758700
AMPH,"Amphastar Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,2207296008
AMPL,"Amplitude, Inc.",Software - Application,1204432860
AMPS,"Altus Power, Inc.",Utilities - Renewable,815618700
AMPX,"Amprius Technologies, Inc.",Electrical Equipment & Parts,240304579
AMPY,Amplify Energy Corp.,Oil & Gas E&P,274217346
AMR,"Alpha Metallurgical Resources, Inc.",Coking Coal,2964546585
AMRC,"Ameresco, Inc.",Engineering & Construction,1442308076
AMRK,"A-Mark Precious Metals, Inc.",Capital Markets,634083956
AMRN,Amarin Corporation plc,Biotechnology,279458450
AMRX,"Amneal Pharmaceuticals, Inc.",Drug Manufacturers - Specialty & Generic,1188490614
AMS,American Shared Hospital Services,Medical Care Facilities,14298760
AMSC,American Superconductor Corporation,Specialty Industrial Machinery,188373322
AMSF,"AMERISAFE, Inc.",Insurance - Specialty,973960400
AMST,Amesite Inc.,Software - Application,5366074
AMSWA,"American Software, Inc.",Software - Application,371388768
AMT,American Tower Corporation,REIT - Specialty,80477171840
AMTB,Amerant Bancorp Inc.,Banks - Regional,607926324
AMTD,AMTD IDEA Group,Asset Management,3661243840
AMTI,Applied Molecular Transport Inc.,Biotechnology,5720335
AMTX,"Aemetis, Inc.",Oil & Gas Refining & Marketing,177922466
AMWD,American Woodmark Corporation,"Furnishings, Fixtures & Appliances",1093611960
AMWL,American Well Corporation,Health Information Services,321681585
AMX,"América Móvil, SAB de CV",Telecom Services,52326461066
AMZN,"Amazon.com, Inc.",Internet Retail,1370894350961
AN,"AutoNation, Inc.",Auto & Truck Dealerships,5691830872
ANAB,"AnaptysBio, Inc.",Biotechnology,437736944
ANDE,"The Andersons, Inc.",Food Distribution,1674446642
ANEB,"Anebulo Pharmaceuticals, Inc.",Biotechnology,55752210
ANET,"Arista Networks, Inc.",Computer Hardware,54399571914
ANF,Abercrombie & Fitch Co.,Apparel Retail,3001786731
ANGH,Anghami Inc.,Entertainment,26915899
ANGI,Angi Inc.,Internet Content & Information,830305750
